# target: k2-141
# filter: <_io.TextIOWrapper name='DATA/K2-141/IRAC 4.5um/2458401_phasecurve_0/timeseries.csv' mode='w' encoding='UTF-8'>
# tmid: 2458401.166175 +- 0.010028
# emid: 2458400.882392 +- 0.007373
# transit_depth: 0.000402+-0.000021
# eclipse_depth: 0.000300 +- 0.000061
# nightside_amp: 0.000300 +- 0.000113
# hotspot_amp: 0.000300 +- 0.000061
# hotspot_lon[deg]: 64.574780 +- 19.852878
# hotspot_lat[deg]: -9.413490 +- 6.119131
time,flux,err,xcent,ycent,npp,phase,raw_flux,phasecurve
2458400.605355,0.996225,0.003117,15.046225,15.128586,3.881809,-0.988251,2039.454509,0.999898
2458400.605378,1.001631,0.003109,15.065918,15.131441,3.917309,-0.988170,2050.343699,0.999898
2458400.605400,0.999144,0.003113,15.050289,15.132482,3.911549,-0.988088,2045.561316,0.999898
2458400.605423,1.001241,0.003110,15.058039,15.117105,3.863457,-0.988007,2048.853089,0.999898
2458400.605446,0.997684,0.003115,15.060529,15.117575,3.902441,-0.987926,2042.185375,0.999898
2458400.605469,1.002683,0.003108,15.056283,15.118459,3.878323,-0.987845,2051.686565,0.999898
2458400.605491,1.005976,0.003103,15.051774,15.126868,3.936597,-0.987763,2058.584034,0.999898
2458400.605514,1.003650,0.003106,15.048775,15.128517,3.927338,-0.987682,2054.057374,0.999898
2458400.605537,0.998045,0.003114,15.052186,15.137504,3.990262,-0.987601,2043.823928,0.999898
2458400.605560,1.002854,0.003106,15.048762,15.156587,4.016770,-0.987520,2053.780351,0.999898
2458400.605583,1.003576,0.003106,15.041629,15.141710,4.003881,-0.987438,2054.714232,0.999898
2458400.605605,0.995051,0.003119,15.046490,15.149148,4.065186,-0.987357,2037.740651,0.999898
2458400.605628,0.997040,0.003117,15.038665,15.154939,4.116080,-0.987276,2039.827166,0.999898
2458400.605651,0.996501,0.003120,15.035450,15.171660,4.187113,-0.987195,2035.274546,0.999898
2458400.605674,0.999876,0.003113,15.030703,15.156187,4.116692,-0.987113,2045.041966,0.999898
2458400.605696,1.001684,0.003110,15.006336,15.139783,4.049688,-0.987032,2048.889966,0.999898
2458400.605719,1.001947,0.003110,15.007733,15.134313,4.062034,-0.986951,2049.313425,0.999898
2458400.605742,0.996752,0.003117,15.019046,15.129558,4.009457,-0.986869,2040.255829,0.999898
2458400.605765,1.002023,0.003109,15.013954,15.113248,3.947495,-0.986788,2050.019305,0.999898
