# target: k2-141
# filter: <_io.TextIOWrapper name='DATA/K2-141/IRAC 4.5um/2458402_phasecurve_0/timeseries.csv' mode='w' encoding='UTF-8'>
# tmid: 2458402.003660 +- 0.001708
# emid: 2458401.971917 +- 0.002673
# transit_depth: 0.000471+-0.000009
# eclipse_depth: 0.000297 +- 0.000025
# nightside_amp: 0.000293 +- 0.000049
# hotspot_amp: 0.000297 +- 0.000025
# hotspot_lon[deg]: -57.536657 +- 19.967980
# hotspot_lat[deg]: -0.439883 +- 11.032092
time,flux,err,xcent,ycent,npp,phase,raw_flux,phasecurve
2458401.726772,0.994787,0.003151,15.016687,15.093807,3.800127,-0.874503,1995.644851,0.999824
2458401.726795,1.002849,0.003139,15.009621,15.106262,3.818824,-0.874421,2011.278803,0.999824
2458401.726817,0.999280,0.003144,15.015217,15.096295,3.761627,-0.874340,2005.163008,0.999824
2458401.726840,1.002979,0.003136,15.016653,15.094013,3.712140,-0.874259,2014.526401,0.999824
2458401.726863,0.999721,0.003140,15.047959,15.114144,3.643879,-0.874178,2009.315896,0.999824
2458401.726886,0.998430,0.003143,15.044445,15.109696,3.716627,-0.874096,2005.535558,0.999824
2458401.726908,1.001989,0.003138,15.059121,15.103180,3.628089,-0.874015,2013.068202,0.999824
2458401.726931,0.995601,0.003147,15.049969,15.091016,3.614056,-0.873934,2001.195359,0.999824
2458401.726954,0.999842,0.003141,15.055289,15.091551,3.644457,-0.873853,2008.976050,0.999824
2458401.726977,1.002313,0.003137,15.042149,15.074945,3.621192,-0.873771,2013.391699,0.999824
2458401.727000,0.996445,0.003146,15.058111,15.093166,3.628675,-0.873690,2002.161154,0.999824
2458401.727022,1.004024,0.003135,15.056775,15.074254,3.579252,-0.873609,2016.392504,0.999824
2458401.727045,1.005090,0.003133,15.043926,15.087209,3.631643,-0.873528,2019.210945,0.999824
2458401.727068,1.000791,0.003140,15.042324,15.106772,3.682474,-0.873446,2010.227458,0.999824
2458401.727091,1.002767,0.003137,15.035936,15.107125,3.714498,-0.873365,2013.883817,0.999824
2458401.727113,0.992552,0.003154,15.015814,15.112366,3.789609,-0.873284,1991.704337,0.999824
2458401.727136,1.001001,0.003141,15.026601,15.134091,3.874667,-0.873202,2008.776948,0.999824
2458401.727159,1.000021,0.003144,15.027400,15.153469,3.975356,-0.873121,2004.195296,0.999824
2458401.727182,1.000382,0.003144,15.012588,15.154365,3.993065,-0.873040,2004.222000,0.999824
2458401.727205,0.995189,0.003154,15.015431,15.159832,4.046755,-0.872959,1992.628612,0.999824
2458401.727268,0.994912,0.003153,15.009774,15.147980,4.019873,-0.872732,1993.725727,0.999824
2458401.727291,0.999007,0.003145,15.012476,15.130816,3.962310,-0.872651,2003.090381,0.999824
2458401.727314,0.996637,0.003148,15.019820,15.127169,3.891311,-0.872570,1999.937428,0.999824
2458401.727336,1.000668,0.003141,15.006378,15.132608,3.826496,-0.872488,2008.028017,0.999824
2458401.727359,0.998917,0.003145,15.009628,15.127131,3.919246,-0.872407,2003.684178,0.999824
2458401.727382,0.998053,0.003145,15.043690,15.126215,3.779599,-0.872326,2003.171364,0.999824
2458401.727405,1.000778,0.003140,15.047731,15.097427,3.650776,-0.872245,2010.234307,0.999824
2458401.727428,0.996396,0.003147,15.046088,15.075981,3.581910,-0.872163,2001.628289,0.999824
2458401.727450,1.001187,0.003139,15.052190,15.068689,3.545076,-0.872082,2010.903544,0.999824
2458401.727473,1.000764,0.003140,15.055117,15.074106,3.575076,-0.872001,2010.050705,0.999824
2458401.727496,0.994579,0.003149,15.055123,15.066801,3.540991,-0.871920,1998.104266,0.999824
2458401.727519,1.000595,0.003140,15.052111,15.073044,3.595455,-0.871838,2009.635906,0.999824
2458401.727541,1.004759,0.003134,15.052756,15.083230,3.599319,-0.871757,2017.715703,0.999824
2458401.727564,1.007219,0.003130,15.045098,15.083439,3.618865,-0.871676,2022.673885,0.999824
2458401.727587,1.000794,0.003140,15.042360,15.081141,3.625822,-0.871595,2009.801945,0.999824
2458401.727610,1.001343,0.003139,15.050729,15.084394,3.589914,-0.871513,2011.196267,0.999824
2458401.727633,0.995848,0.003148,15.053688,15.078086,3.603649,-0.871432,2000.281263,0.999824
2458401.727655,1.002565,0.003137,15.064153,15.071657,3.548417,-0.871351,2013.219885,0.999824
2458401.727678,0.995734,0.003148,15.074609,15.081132,3.574120,-0.871269,1999.203611,0.999824
2458401.727701,0.998069,0.003145,15.078415,15.076836,3.519421,-0.871188,2003.678505,0.999824
2458401.727724,0.999384,0.003143,15.075535,15.077734,3.532479,-0.871107,2006.459855,0.999824
2458401.727746,1.000621,0.003141,15.065988,15.094227,3.555831,-0.871026,2008.696055,0.999824
2458401.727769,1.002160,0.003138,15.085599,15.094628,3.604665,-0.870944,2012.991933,0.999824
2458401.727792,1.002271,0.003139,15.086600,15.077144,3.512859,-0.870863,2011.486811,0.999824
2458401.727815,0.998607,0.003145,15.095090,15.067668,3.493133,-0.870782,2003.784579,0.999824
2458401.727838,0.996334,0.003148,15.091228,15.070087,3.515576,-0.870701,2000.088266,0.999824
2458401.727860,0.995918,0.003149,15.083470,15.059149,3.511374,-0.870619,1998.986836,0.999824
2458401.727883,1.004545,0.003136,15.081220,15.077464,3.499419,-0.870538,2015.520446,0.999824
2458401.727906,1.000523,0.003141,15.074976,15.082047,3.515437,-0.870457,2008.379678,0.999824
2458401.727929,1.008435,0.003129,15.069316,15.086404,3.592636,-0.870376,2024.177838,0.999824
2458401.727951,0.999765,0.003142,15.068135,15.082475,3.581399,-0.870294,2007.209357,0.999824
2458401.727974,1.000410,0.003142,15.077105,15.082636,3.570629,-0.870213,2007.941309,0.999824
2458401.727997,0.999426,0.003142,15.075442,15.063813,3.562077,-0.870132,2007.497369,0.999824
2458401.728020,1.005411,0.003133,15.068042,15.068044,3.557009,-0.870051,2019.096010,0.999824
2458401.728043,1.005415,0.003133,15.051821,15.059776,3.558416,-0.869969,2018.851842,0.999824
2458401.728065,0.997082,0.003148,15.025618,15.067501,3.623049,-0.869888,1999.959700,0.999824
2458401.728088,1.004050,0.003137,15.013600,15.040991,3.667291,-0.869807,2013.972424,0.999824
2458401.728111,1.000287,0.003143,15.016385,15.060697,3.647810,-0.869726,2006.085592,0.999824
2458401.728134,0.998626,0.003145,15.038213,15.060696,3.623068,-0.869644,2003.379720,0.999824
2458401.728156,1.005171,0.003135,15.031287,15.062811,3.648526,-0.869563,2015.751320,0.999824
2458401.728179,1.002500,0.003138,15.025735,15.080810,3.730345,-0.869482,2012.909950,0.999825
2458401.728202,0.997912,0.003145,15.015818,15.087061,3.736399,-0.869400,2004.013461,0.999825
2458401.728225,0.999517,0.003142,15.011218,15.076624,3.713567,-0.869319,2006.914147,0.999825
2458401.728248,1.001975,0.003139,15.011507,15.075632,3.724047,-0.869238,2011.658750,0.999825
2458401.728270,1.000975,0.003140,15.011345,15.085440,3.722366,-0.869157,2009.913929,0.999825
2458401.728293,0.996647,0.003148,15.017249,15.104792,3.789483,-0.869075,2000.044916,0.999825
2458401.728316,1.000538,0.003141,15.022475,15.093471,3.740638,-0.868994,2008.997372,0.999825
