# target: k2-141
# filter: IRAC 4.5um
# tmid: 2458402.836177 +- 0.000718
# emid: 2458402.838723 +- 0.018830
# transit_depth: 0.000756+-0.000028
# eclipse_depth: 0.000226 +- 0.000069
# nightside_amp: 0.000239 +- 0.000107
# hotspot_amp: 0.000265 +- 0.000069
# hotspot_lon[deg]: -5.454545 +- 9.696830
# hotspot_lat[deg]: -4.134897 +- 4.226901
time,flux,err,xcent,ycent,npp,phase,raw_flux,phasecurve
2458402.570318,0.996058,0.003116,15.108098,15.074423,3.655625,-0.957445,2040.420196,0.999533
2458402.570341,1.004056,0.003103,15.120425,15.074388,3.608982,-0.957363,2057.905330,0.999533
2458402.570364,1.000275,0.003110,15.122332,15.080032,3.629457,-0.957282,2049.459116,0.999533
2458402.570386,0.998093,0.003112,15.132091,15.071070,3.625760,-0.957201,2046.045069,0.999534
2458402.570409,0.994667,0.003118,15.121943,15.085138,3.632247,-0.957119,2038.197080,0.999534
2458402.570432,1.003735,0.003105,15.103842,15.090941,3.704470,-0.957038,2056.149975,0.999534
2458402.570455,0.998322,0.003112,15.101843,15.091008,3.702383,-0.956957,2045.812231,0.999535
2458402.570477,0.992891,0.003121,15.107896,15.093411,3.669403,-0.956876,2034.546714,0.999535
2458402.570500,0.996588,0.003116,15.111451,15.091208,3.660636,-0.956794,2041.546972,0.999535
2458402.570523,1.004690,0.003103,15.106626,15.089357,3.692336,-0.956713,2057.977573,0.999535
2458402.570546,1.005874,0.003102,15.122067,15.088926,3.658368,-0.956632,2059.697680,0.999536
2458402.570569,1.005974,0.003102,15.123206,15.089967,3.635146,-0.956551,2059.822815,0.999536
2458402.570591,0.994887,0.003118,15.125495,15.087122,3.639154,-0.956469,2038.779416,0.999536
2458402.570614,0.993666,0.003120,15.119130,15.092136,3.655738,-0.956388,2036.046442,0.999537
2458402.570637,0.999790,0.003111,15.115138,15.085428,3.672514,-0.956307,2048.125097,0.999537
2458402.570660,1.000415,0.003110,15.118225,15.077538,3.677134,-0.956226,2049.504798,0.999537
2458402.570682,0.999000,0.003112,15.110870,15.082870,3.666746,-0.956144,2046.499143,0.999538
2458402.570705,1.003898,0.003104,15.124959,15.080952,3.676330,-0.956063,2056.193268,0.999538
2458402.570728,0.998835,0.003112,15.099549,15.088852,3.663378,-0.955982,2046.024804,0.999538
2458402.570751,0.996596,0.003114,15.104452,15.069119,3.606979,-0.955901,2044.164900,0.999539
2458402.570774,1.000274,0.003110,15.110330,15.063161,3.643633,-0.955819,2049.212037,0.999539
2458402.570796,1.000786,0.003108,15.120735,15.063963,3.637791,-0.955738,2050.924855,0.999539
2458402.570819,0.996916,0.003113,15.115377,15.052439,3.611964,-0.955657,2044.349343,0.999540
2458402.570842,0.994367,0.003117,15.100078,15.046508,3.596903,-0.955576,2039.393535,0.999540
2458402.570865,0.997615,0.003114,15.087019,15.044181,3.624116,-0.955494,2044.275504,0.999540
2458402.570887,0.992166,0.003121,15.101080,15.037394,3.585957,-0.955413,2034.482705,0.999541
2458402.570910,0.998624,0.003111,15.107703,15.051368,3.601262,-0.955332,2047.925127,0.999541
2458402.570933,0.998889,0.003111,15.124297,15.047518,3.603501,-0.955251,2048.230960,0.999542
2458402.570956,0.996810,0.003113,15.124786,15.066091,3.610070,-0.955169,2044.514050,0.999542
2458402.570979,0.993210,0.003120,15.111893,15.080620,3.651345,-0.955088,2035.267808,0.999542
2458402.571001,0.998765,0.003112,15.099128,15.089532,3.665389,-0.955007,2046.166086,0.999543
2458402.571087,0.998972,0.003112,15.099251,15.110701,3.718221,-0.954702,2046.318710,0.999544
2458402.571110,1.003319,0.003106,15.100058,15.106950,3.720207,-0.954620,2054.110998,0.999544
2458402.571132,1.001984,0.003107,15.107248,15.107786,3.686722,-0.954539,2052.229987,0.999545
2458402.571155,1.005514,0.003102,15.106717,15.093192,3.657059,-0.954458,2059.219374,0.999545
2458402.571178,0.999805,0.003110,15.120211,15.070518,3.664832,-0.954377,2048.451716,0.999546
2458402.571201,1.002373,0.003105,15.122713,15.067690,3.618026,-0.954295,2054.901516,0.999546
2458402.571224,1.005759,0.003100,15.117331,15.056952,3.609225,-0.954214,2061.536327,0.999547
2458402.571246,1.002747,0.003104,15.115840,15.071753,3.583783,-0.954133,2057.038934,0.999547
2458402.571269,1.000554,0.003108,15.110301,15.057931,3.624915,-0.954052,2050.925226,0.999547
2458402.571292,1.002009,0.003105,15.088238,15.058998,3.595625,-0.953970,2055.079508,0.999548
