# target: wasp-103
# filter: IRAC 4.5um
# tmid: 2457163.011465 +- 0.000309
# emid: 2457162.551163 +- 0.000697
# transit_depth: 0.013129+-0.000073
# eclipse_depth: 0.004737 +- 0.000193
# nightside_amp: 0.000995 +- 0.000212
# hotspot_amp: 0.004737 +- 0.000193
# hotspot_lon[deg]: 7.214076 +- 2.719798
# hotspot_lat[deg]: -1.143695 +- 2.212845
time,flux,err,xcent,ycent,npp,phase,raw_flux,phasecurve
2457162.378381,0.991425,0.003864,23.052742,231.143261,3.619386,0.313299,218.395609,1.003707
2457162.378529,0.999717,0.003849,23.059610,231.154807,3.660745,0.313459,220.160626,1.003709
2457162.378677,1.006550,0.003836,23.041631,231.145246,3.765731,0.313619,221.628269,1.003711
2457162.378830,1.002601,0.003843,23.049731,231.135136,3.672781,0.313784,220.772008,1.003713
2457162.378983,0.998375,0.003850,23.045928,231.111210,3.681580,0.313949,219.872575,1.003715
2457162.379135,1.003705,0.003841,23.045094,231.108953,3.651098,0.314114,220.991095,1.003717
2457162.379283,1.005432,0.003838,23.043111,231.118504,3.621281,0.314274,221.354808,1.003719
2457162.379436,1.002626,0.003843,23.036836,231.137603,3.716581,0.314440,220.794279,1.003721
2457162.379589,1.009285,0.003831,23.058021,231.159183,3.721184,0.314605,222.202435,1.003723
2457162.379742,1.011681,0.003827,23.050370,231.162207,3.782776,0.314770,222.708547,1.003725
2457162.379890,1.002822,0.003843,23.035925,231.144540,3.822502,0.314930,220.837250,1.003727
2457162.380043,1.005660,0.003836,23.037473,231.138081,3.688353,0.315095,221.434433,1.003729
2457162.380195,1.002751,0.003843,23.036740,231.150023,3.824170,0.315260,220.825792,1.003731
2457162.380348,1.013450,0.003823,23.054176,231.145591,3.690475,0.315425,223.082208,1.003733
2457162.380497,1.002392,0.003842,23.082972,231.127164,3.612972,0.315585,220.704604,1.003735
2457162.380649,0.997866,0.003852,23.052644,231.122974,3.631304,0.315750,219.762146,1.003737
2457162.380802,1.006267,0.003835,23.037760,231.150865,3.728342,0.315915,221.579508,1.003739
2457162.380955,1.002731,0.003843,23.026777,231.136980,3.726319,0.316080,220.828089,1.003741
2457162.381103,1.002571,0.003843,23.025949,231.151414,3.800573,0.316240,220.805782,1.003742
2457162.381256,1.003063,0.003842,23.042686,231.134013,3.687214,0.316405,220.885203,1.003744
2457162.381409,1.008919,0.003832,23.057978,231.101944,3.517763,0.316571,222.076238,1.003746
2457162.381561,1.003121,0.003841,23.070002,231.118230,3.590202,0.316735,220.870536,1.003748
2457162.381714,1.009915,0.003830,23.058142,231.122083,3.635009,0.316900,222.308689,1.003750
2457162.382015,0.998341,0.003851,23.066366,231.138417,3.739607,0.317226,219.887010,1.003754
2457162.382168,1.001311,0.003846,23.078129,231.117623,3.677717,0.317391,220.494064,1.003756
2457162.382316,1.008404,0.003833,23.070768,231.126922,3.612114,0.317551,221.982692,1.003758
2457162.382469,1.001979,0.003844,23.066910,231.155581,3.749883,0.317716,220.668664,1.003760
2457162.382774,1.007770,0.003834,23.066380,231.144956,3.677242,0.318046,221.874824,1.003764
2457162.382922,1.007439,0.003834,23.063661,231.140351,3.723465,0.318206,221.814896,1.003766
2457162.383075,0.997280,0.003853,23.079741,231.155454,3.686705,0.318371,219.663968,1.003768
2457162.383228,0.998908,0.003851,23.064985,231.122982,3.636432,0.318536,219.860258,1.003770
2457162.383381,0.997865,0.003855,23.091488,231.148374,3.716794,0.318701,219.308850,1.003772
2457162.388628,0.994679,0.003870,23.062718,231.201819,4.038315,0.324371,217.705923,1.003839
2457162.388781,1.002128,0.003857,23.022354,231.218562,4.252383,0.324536,219.006408,1.003841
2457162.389082,1.010291,0.003844,23.026870,231.222028,4.181284,0.324861,220.743569,1.003845
2457162.389235,1.004603,0.003854,23.014215,231.201504,4.160033,0.325026,219.596804,1.003847
2457162.389388,1.003605,0.003855,23.034049,231.207830,4.060312,0.325191,219.466606,1.003849
2457162.389540,1.002388,0.003855,23.055584,231.215522,4.143081,0.325356,219.200474,1.003851
2457162.389688,0.999450,0.003864,23.012784,231.224247,4.246027,0.325517,218.474899,1.003852
2457162.389841,1.002911,0.003856,23.004785,231.189597,4.138466,0.325682,219.320285,1.003854
2457162.389994,0.998330,0.003865,23.005977,231.202570,4.176484,0.325847,218.350374,1.003856
2457162.390142,0.995531,0.003870,23.019174,231.203420,4.182824,0.326007,217.785408,1.003858
2457162.390300,0.999657,0.003861,23.009613,231.211640,4.245463,0.326177,218.582054,1.003860
2457162.390600,1.004660,0.003854,23.001927,231.226264,4.259199,0.326502,219.548327,1.003864
2457162.390753,1.003443,0.003855,23.004973,231.216336,4.231060,0.326667,219.411629,1.003866
2457162.390901,1.003193,0.003858,22.984790,231.222972,4.419204,0.326827,219.147746,1.003868
2457162.391054,1.001965,0.003859,22.992671,231.218307,4.420889,0.326992,218.934320,1.003869
2457162.391207,1.001945,0.003862,22.996288,231.236922,4.480491,0.327157,218.650678,1.003871
2457162.391355,1.004171,0.003856,23.005688,231.237635,4.320854,0.327317,219.333953,1.003873
2457162.391508,0.999493,0.003867,22.993713,231.238566,4.532629,0.327482,218.026216,1.003875
2457162.391660,1.009282,0.003849,23.025258,231.255316,4.412180,0.327647,220.111118,1.003877
2457162.391813,1.001520,0.003861,22.999501,231.250345,4.466978,0.327813,218.535690,1.003879
2457162.391962,1.011039,0.003842,23.004167,231.207040,4.315134,0.327973,220.965332,1.003881
2457162.392124,1.004433,0.003851,23.024750,231.215822,4.183639,0.328148,219.721787,1.003883
2457162.392267,1.011699,0.003845,22.996788,231.248194,4.489980,0.328303,220.616032,1.003885
2457162.392420,0.997411,0.003869,22.999918,231.229352,4.440859,0.328468,217.881074,1.003886
2457162.392568,1.003370,0.003858,23.027343,231.237139,4.393099,0.328628,219.089551,1.003888
2457162.392721,1.007809,0.003849,23.031357,231.239208,4.300796,0.328793,220.101997,1.003890
2457162.392874,1.008913,0.003843,23.028788,231.219429,4.242822,0.328958,220.650333,1.003892
2457162.393026,1.005923,0.003849,23.004806,231.182001,4.150433,0.329123,220.166880,1.003894
