# target: wasp-19
# filter: IRAC 3.6um
# tmid: 2455777.162871 +- 0.000134
# emid: 2455776.767849 +- 0.000410
# transit_depth: 0.020494+-0.000059
# eclipse_depth: 0.004529 +- 0.000159
# nightside_amp: 0.003390 +- 0.000257
# hotspot_amp: 0.004529 +- 0.000159
# hotspot_lon[deg]: -33.255132 +- 3.624146
# hotspot_lat[deg]: 14.164223 +- 6.114429
time,flux,err,xcent,ycent,npp,phase,raw_flux,phasecurve
2455776.622116,1.000924,0.006209,15.102405,15.204644,4.581255,0.320353,447.820786,1.003481
2455776.622139,1.001398,0.006208,15.077930,15.240189,4.550110,0.320382,447.935374,1.003481
2455776.622162,0.988467,0.006231,15.069675,15.199463,4.491648,0.320411,444.654716,1.003481
2455776.622185,1.007535,0.006195,15.073789,15.244423,4.616322,0.320440,449.734260,1.003482
2455776.622207,1.004511,0.006197,15.089601,15.209963,4.561910,0.320468,449.533881,1.003482
2455776.622230,0.998134,0.006216,15.077398,15.225616,4.549925,0.320497,446.743708,1.003482
2455776.622253,1.005304,0.006202,15.093262,15.228792,4.702565,0.320526,448.731557,1.003482
2455776.622276,1.000786,0.006218,15.083483,15.222475,4.728365,0.320555,446.507400,1.003482
2455776.622299,1.005657,0.006198,15.094135,15.229347,4.652554,0.320584,449.357182,1.003482
2455776.622321,0.997891,0.006223,15.112136,15.239574,4.712520,0.320613,445.729018,1.003483
2455776.622344,1.005555,0.006200,15.094662,15.222765,4.675974,0.320642,449.085488,1.003483
2455776.622367,1.007985,0.006196,15.114597,15.245344,4.716784,0.320671,449.661621,1.003483
2455776.622390,1.005482,0.006191,15.107584,15.220952,4.496807,0.320699,450.365563,1.003483
2455776.622413,1.003805,0.006168,15.107808,15.208268,4.412856,0.320728,453.759332,1.003483
2455776.622435,1.018213,0.006144,15.084494,15.195839,4.493989,0.320757,457.323885,1.003483
2455776.622458,1.000733,0.006205,15.091614,15.212349,4.529982,0.320786,448.389415,1.003483
2455776.622481,1.008836,0.006193,15.132704,15.238923,4.719472,0.320815,450.004703,1.003484
2455776.622504,0.997936,0.006215,15.118363,15.222863,4.575917,0.320844,446.907384,1.003484
2455776.622526,0.994164,0.006226,15.105073,15.221968,4.520721,0.320873,445.328520,1.003484
2455776.622549,1.000741,0.006167,15.116390,15.186504,4.345653,0.320902,453.859384,1.003484
2455776.622572,0.991861,0.006187,15.084007,15.182661,4.251731,0.320930,450.918275,1.003484
2455776.622595,1.005667,0.006190,15.117736,15.235273,4.485226,0.320959,450.465793,1.003484
2455776.622618,1.005221,0.006192,15.099306,15.207917,4.532564,0.320988,450.195768,1.003485
