# target: wasp-19
# filter: IRAC 4.5um
# tmid: 2455787.418317 +- 0.000253
# emid: 2455787.023569 +- 0.000646
# transit_depth: 0.021504+-0.000090
# eclipse_depth: 0.005388 +- 0.000257
# nightside_amp: 0.002447 +- 0.000390
# hotspot_amp: 0.005391 +- 0.000257
# hotspot_lon[deg]: -5.102639 +- 5.484918
# hotspot_lat[deg]: -2.199413 +- 3.813130
time,flux,err,xcent,ycent,npp,phase,raw_flux,phasecurve
2455786.883194,1.005952,0.008407,14.396077,15.324884,6.254763,0.327126,280.360244,1.004337
2455786.883217,1.020927,0.008353,14.404498,15.334309,6.249796,0.327155,284.027822,1.004337
2455786.883262,0.989530,0.008482,14.431313,15.317814,6.219343,0.327213,275.452369,1.004338
2455786.883285,1.008940,0.008396,14.432810,15.331581,6.295796,0.327242,281.111617,1.004338
2455786.883308,0.994989,0.008473,14.409257,15.295789,6.009961,0.327271,276.041739,1.004338
2455786.883331,0.997196,0.008462,14.441970,15.312503,6.091746,0.327300,276.763584,1.004339
2455786.883353,1.025399,0.008343,14.463469,15.306231,6.168507,0.327328,284.721483,1.004339
2455786.883376,1.013720,0.008395,14.459408,15.264682,5.999348,0.327357,281.182404,1.004339
2455786.883439,0.998270,0.008453,14.465419,15.242339,5.873828,0.327438,277.356428,1.004340
2455786.883462,0.999936,0.008449,14.450507,15.224757,5.863970,0.327467,277.640132,1.004341
2455786.883485,0.995871,0.008462,14.453289,15.270963,5.831800,0.327495,276.762740,1.004341
2455786.883508,1.023163,0.008357,14.467880,15.243915,5.848506,0.327524,283.775674,1.004341
2455786.883531,1.003854,0.008436,14.447526,15.239165,6.063905,0.327553,278.486643,1.004341
2455786.883553,1.015272,0.008373,14.446716,15.321811,6.274809,0.327582,282.638977,1.004342
2455786.883576,1.009960,0.008396,14.521167,15.301600,6.300623,0.327611,281.154173,1.004342
2455786.883599,0.997803,0.008456,14.463500,15.281830,6.124100,0.327640,277.172240,1.004342
2455786.883622,1.019125,0.008383,14.419664,15.288306,6.061006,0.327669,282.025560,1.004343
2455786.883644,1.001833,0.008446,14.442927,15.283485,6.049599,0.327698,277.785781,1.004343
2455786.883667,1.020986,0.008370,14.436717,15.245948,6.024821,0.327726,282.888098,1.004343
2455786.883690,0.992137,0.008482,14.439415,15.249545,5.902897,0.327755,275.429898,1.004344
2455786.883713,1.003225,0.008416,14.468686,15.331154,5.981549,0.327784,279.800584,1.004344
2455786.883736,0.987945,0.008499,14.448852,15.276329,6.036129,0.327813,274.355865,1.004344
2455786.883758,1.005790,0.008428,14.428459,15.307600,6.126252,0.327842,278.965337,1.004344
2455786.883781,0.998709,0.008439,14.424166,15.329429,6.221521,0.327871,278.245742,1.004345
2455786.883804,0.995408,0.008467,14.424439,15.309708,6.142860,0.327900,276.397163,1.004345
2455786.883827,1.005720,0.008444,14.377414,15.291594,5.997953,0.327929,277.921148,1.004345
2455786.883850,0.988258,0.008488,14.429423,15.310544,6.226769,0.327958,275.041537,1.004346
2455786.883872,0.993801,0.008479,14.406596,15.291949,6.096366,0.327986,275.657692,1.004346
2455786.883895,1.012510,0.008400,14.481391,15.253126,6.103994,0.328015,280.872452,1.004346
2455786.883918,0.976400,0.008546,14.402925,15.252209,5.976446,0.328044,271.360051,1.004347
2455786.883941,0.999854,0.008439,14.421882,15.296975,5.880389,0.328073,278.261610,1.004347
2455786.883963,1.027356,0.008345,14.418248,15.316834,6.097413,0.328102,284.544969,1.004347
2455786.883986,1.001012,0.008429,14.475396,15.322774,6.339863,0.328131,278.941693,1.004347
2455786.884009,1.006159,0.008411,14.444731,15.328220,6.416960,0.328160,280.120205,1.004348
2455786.884032,1.015454,0.008374,14.464797,15.290978,6.287849,0.328189,282.627494,1.004348
2455786.884055,1.009293,0.008397,14.461993,15.275737,6.279372,0.328217,281.052092,1.004348
2455786.884077,0.999127,0.008437,14.441683,15.275475,6.273520,0.328246,278.371840,1.004349
2455786.884100,0.990292,0.008492,14.423928,15.292260,6.126402,0.328275,274.826947,1.004349
2455786.884123,0.987351,0.008488,14.443710,15.307461,6.253269,0.328304,275.073684,1.004349
2455786.884146,1.012621,0.008388,14.426332,15.320521,6.228647,0.328333,281.665109,1.004350
2455786.884168,1.022133,0.008346,14.463256,15.326760,6.204825,0.328362,284.508842,1.004350
2455786.884191,1.002418,0.008422,14.421700,15.325671,6.351544,0.328391,279.393861,1.004350
2455786.884237,0.982149,0.008514,14.444766,15.295505,6.218523,0.328448,273.408326,1.004351
2455786.884260,1.005220,0.008425,14.420050,15.281434,5.891770,0.328477,279.185639,1.004351
2455786.884282,0.991764,0.008480,14.452397,15.253312,5.889213,0.328506,275.556971,1.004351
2455786.884305,1.012289,0.008395,14.416599,15.299398,5.774095,0.328535,281.211574,1.004352
2455786.884328,0.998373,0.008457,14.409875,15.292708,5.987144,0.328564,277.067368,1.004352
2455786.884351,1.010133,0.008404,14.443821,15.275475,5.944445,0.328593,280.574177,1.004352
2455786.884373,0.999723,0.008454,14.412299,15.243154,5.782462,0.328622,277.259237,1.004353
2455786.884396,1.023278,0.008352,14.439235,15.263726,5.749590,0.328651,284.068103,1.004353
2455786.884419,1.008603,0.008408,14.454376,15.274059,5.796995,0.328679,280.333779,1.004353
2455786.884442,1.011126,0.008391,14.413169,15.309621,5.900508,0.328708,281.480133,1.004353
2455786.884465,0.998017,0.008461,14.392604,15.267286,5.818661,0.328737,276.793275,1.004354
