# target: wasp-43
# filter: IRAC 3.6um
# tmid: 2457089.110119 +- 0.000047
# emid: 2457088.703513 +- 0.000261
# transit_depth: 0.025858+-0.000040
# eclipse_depth: 0.003240 +- 0.000103
# nightside_amp: 0.001717 +- 0.000195
# hotspot_amp: 0.003240 +- 0.000103
# hotspot_lon[deg]: 17.067449 +- 2.380897
# hotspot_lat[deg]: 5.894428 +- 3.264345
time,flux,err,xcent,ycent,npp,phase,raw_flux,phasecurve
2457088.576845,0.993522,0.003326,15.173300,15.176325,4.454128,0.343997,1560.108751,1.003011
2457088.576868,1.010037,0.003299,15.172469,15.169589,4.455768,0.344025,1585.822812,1.003011
2457088.576891,1.005728,0.003306,15.184159,15.177625,4.473700,0.344053,1578.900722,1.003011
2457088.576914,1.005042,0.003312,15.171842,15.173284,4.507566,0.344081,1573.520580,1.003011
2457088.576936,1.004316,0.003315,15.173091,15.187610,4.529019,0.344109,1570.776996,1.003011
2457088.576959,1.001616,0.003318,15.176703,15.185352,4.584215,0.344137,1567.490022,1.003012
2457088.577005,1.005163,0.003317,15.168479,15.175706,4.649435,0.344193,1569.272413,1.003012
2457088.577027,1.006462,0.003312,15.159418,15.175930,4.547762,0.344221,1573.638677,1.003012
2457088.577050,1.005455,0.003314,15.160481,15.194003,4.555719,0.344249,1571.631139,1.003012
2457088.577073,0.997815,0.003324,15.167919,15.173592,4.511181,0.344277,1562.609307,1.003012
2457088.577096,1.002044,0.003320,15.148649,15.189531,4.557876,0.344305,1566.402416,1.003012
2457088.577180,1.005089,0.003317,15.185879,15.192251,4.631940,0.344409,1568.932854,1.003013
2457088.577203,0.995366,0.003334,15.181683,15.187657,4.651838,0.344437,1552.665337,1.003013
2457088.577226,0.998924,0.003327,15.170025,15.191533,4.633786,0.344465,1559.604620,1.003013
2457088.577249,1.005975,0.003313,15.164428,15.180113,4.552317,0.344493,1572.473708,1.003013
2457088.577271,1.007144,0.003313,15.171570,15.182014,4.633993,0.344521,1572.575949,1.003013
2457088.577294,1.003007,0.003319,15.175978,15.184557,4.622997,0.344549,1566.600823,1.003013
2457088.577317,1.003443,0.003319,15.160920,15.176306,4.639269,0.344577,1566.692197,1.003013
2457088.577340,1.004180,0.003319,15.162606,15.182698,4.660792,0.344605,1566.763672,1.003013
2457088.577363,1.002611,0.003322,15.176712,15.182223,4.652359,0.344633,1563.810988,1.003014
2457088.577385,0.999500,0.003323,15.174670,15.177707,4.546763,0.344661,1563.246683,1.003014
2457088.577408,1.004285,0.003301,15.167171,15.153376,4.315736,0.344689,1584.345676,1.003014
2457088.577431,1.009587,0.003293,15.163604,15.156622,4.322846,0.344717,1591.432708,1.003014
2457088.577454,1.001536,0.003305,15.158166,15.149116,4.321516,0.344745,1579.926753,1.003014
2457088.577476,1.000131,0.003311,15.174537,15.159365,4.372450,0.344773,1574.632958,1.003014
2457088.577499,1.005282,0.003311,15.169804,15.171798,4.518830,0.344801,1574.692349,1.003014
2457088.577522,0.996251,0.003328,15.166592,15.168007,4.506778,0.344829,1558.788430,1.003014
2457088.577545,0.992006,0.003339,15.155627,15.180230,4.618205,0.344857,1548.391397,1.003014
2457088.577568,1.000254,0.003326,15.155214,15.187478,4.623149,0.344885,1560.761241,1.003015
2457088.577590,1.002688,0.003320,15.156720,15.170914,4.570254,0.344913,1565.857771,1.003015
2457088.577613,1.006549,0.003312,15.149309,15.169064,4.560910,0.344941,1573.181094,1.003015
2457088.577636,1.000265,0.003324,15.157740,15.168396,4.574404,0.344969,1561.870465,1.003015
2457088.577659,1.000934,0.003325,15.163340,15.176679,4.603990,0.344997,1561.443387,1.003015
2457088.577682,1.003594,0.003316,15.167081,15.190137,4.569352,0.345025,1569.464584,1.003015
2457088.577704,1.006850,0.003311,15.163633,15.183105,4.567347,0.345053,1574.440395,1.003015
2457088.577727,1.001554,0.003320,15.169529,15.194253,4.550788,0.345081,1566.369924,1.003015
2457088.577750,1.013978,0.003297,15.170949,15.176470,4.500857,0.345109,1587.857623,1.003015
2457088.577773,0.999671,0.003319,15.177703,15.178143,4.493407,0.345137,1566.630835,1.003016
2457088.577795,1.002176,0.003316,15.169760,15.179796,4.496581,0.345165,1569.817870,1.003016
2457088.577818,1.005920,0.003305,15.183108,15.167879,4.452760,0.345193,1579.987154,1.003016
2457088.577841,1.002147,0.003309,15.171472,15.165513,4.406608,0.345221,1576.456230,1.003016
2457088.577864,1.011200,0.003298,15.161862,15.168656,4.457638,0.345249,1587.225632,1.003016
2457088.577887,1.002204,0.003309,15.157276,15.160992,4.367627,0.345277,1576.334251,1.003016
2457088.577909,1.007678,0.003299,15.181247,15.143340,4.385647,0.345305,1586.516745,1.003016
2457088.577932,1.006841,0.003304,15.174651,15.172762,4.391994,0.345333,1581.513772,1.003016
2457088.577955,1.004249,0.003307,15.173643,15.161114,4.394410,0.345361,1578.552650,1.003016
2457088.577978,1.002101,0.003319,15.173088,15.177746,4.560284,0.345389,1566.765259,1.003017
2457088.578000,1.003275,0.003320,15.185430,15.179335,4.625779,0.345417,1566.511762,1.003017
2457088.578023,0.995488,0.003331,15.163923,15.184774,4.589212,0.345445,1555.634122,1.003017
2457088.578046,0.995308,0.003331,15.149756,15.178650,4.583000,0.345473,1555.610030,1.003017
