# target: wasp-43
# filter: <_io.TextIOWrapper name='DATA/WASP-43/IRAC 3.6um/2457088_phasecurve_0/timeseries.csv' mode='w' encoding='UTF-8'>
# tmid: 2457270.516062 +- 0.000048
# emid: 2457270.109555 +- 0.000249
# transit_depth: 0.026268+-0.000017
# eclipse_depth: 0.003303 +- 0.000044
# nightside_amp: 0.000865 +- 0.000050
# hotspot_amp: 0.003303 +- 0.000044
# hotspot_lon[deg]: 20.586510 +- 0.756751
# hotspot_lat[deg]: -0.263930 +- 2.209201
time,flux,err,xcent,ycent,npp,phase,raw_flux,phasecurve
2457269.982045,1.003769,0.003276,15.143443,15.074615,3.940274,0.343218,1608.676981,1.002980
2457269.982067,0.999431,0.003287,15.139618,15.092294,3.963453,0.343246,1597.847506,1.002980
2457269.982090,1.004370,0.003281,15.160697,15.105040,3.998278,0.343274,1603.680039,1.002981
2457269.982113,1.006795,0.003279,15.170469,15.093699,4.052110,0.343302,1605.537824,1.002981
2457269.982136,1.005922,0.003279,15.186570,15.100601,4.055906,0.343330,1605.135327,1.002981
2457269.982159,1.005044,0.003279,15.180670,15.101344,4.040888,0.343358,1605.103054,1.002981
2457269.982181,0.996914,0.003298,15.177164,15.107398,4.120132,0.343386,1586.655615,1.002981
2457269.982204,1.007922,0.003273,15.180045,15.091293,4.014869,0.343414,1610.904747,1.002981
2457269.982227,1.012912,0.003261,15.179947,15.072156,3.937334,0.343442,1623.320280,1.002982
2457269.982250,1.002318,0.003277,15.177093,15.071000,3.937361,0.343470,1607.228965,1.002982
2457269.982272,1.008595,0.003270,15.168281,15.078921,3.967134,0.343498,1614.342564,1.002982
2457269.982295,1.001011,0.003284,15.154704,15.095158,4.010424,0.343526,1600.550394,1.002982
2457269.982341,1.008916,0.003272,15.183446,15.096202,4.010445,0.343583,1612.688571,1.002983
2457269.982364,1.005329,0.003279,15.167396,15.089148,4.018481,0.343611,1605.257589,1.002983
2457269.982386,0.994841,0.003288,15.158531,15.075598,3.860491,0.343639,1596.957313,1.002983
2457269.982409,1.006513,0.003273,15.151432,15.085978,3.957309,0.343667,1611.307589,1.002983
2457269.982432,1.000686,0.003283,15.141930,15.087541,3.940488,0.343695,1601.354203,1.002983
2457269.982455,1.003573,0.003284,15.128316,15.099983,4.033710,0.343723,1600.974385,1.002983
2457269.982477,1.002897,0.003281,15.145697,15.104753,3.978952,0.343751,1603.268844,1.002984
2457269.982523,1.007153,0.003280,15.143691,15.109346,4.049509,0.343807,1604.645367,1.002984
2457269.982546,1.001806,0.003285,15.142691,15.104738,3.996674,0.343835,1599.417457,1.002984
2457269.982569,1.006547,0.003276,15.153795,15.084501,3.990347,0.343863,1608.391788,1.002984
2457269.982591,1.008704,0.003272,15.147516,15.095655,3.979034,0.343891,1611.989258,1.002984
2457269.982614,0.998804,0.003291,15.151241,15.095103,4.036171,0.343919,1593.925385,1.002985
2457269.982637,0.999473,0.003295,15.145342,15.117982,4.108208,0.343947,1589.691248,1.002985
2457269.982660,1.006475,0.003287,15.164571,15.126335,4.151791,0.343975,1597.169692,1.002985
2457269.982682,0.997293,0.003302,15.160415,15.132351,4.159917,0.344003,1582.979250,1.002985
2457269.982705,1.000654,0.003300,15.152679,15.135228,4.201184,0.344031,1584.827928,1.002985
2457269.982728,1.004891,0.003289,15.154438,15.117630,4.153047,0.344059,1595.277695,1.002985
2457269.982751,1.002525,0.003290,15.153537,15.109127,4.104862,0.344087,1594.604933,1.002986
2457269.982774,1.009814,0.003274,15.144797,15.100817,4.030724,0.344115,1610.702272,1.002986
2457269.982796,1.005322,0.003285,15.143489,15.116843,4.097030,0.344143,1599.381378,1.002986
2457269.982819,1.005117,0.003282,15.131064,15.106178,4.033620,0.344171,1602.495081,1.002986
2457269.982842,1.008221,0.003275,15.125020,15.097102,4.048873,0.344199,1608.958759,1.002986
2457269.982865,1.005527,0.003277,15.131278,15.091111,4.010925,0.344227,1606.973170,1.002986
2457269.982887,1.002773,0.003279,15.170926,15.085775,3.936060,0.344255,1605.443209,1.002987
2457269.982910,1.004243,0.003277,15.167752,15.085767,3.933029,0.344283,1607.645418,1.002987
2457269.982933,1.005904,0.003272,15.169287,15.077879,3.902198,0.344311,1612.423034,1.002987
2457269.982956,1.000703,0.003282,15.162040,15.074764,3.926486,0.344339,1602.991991,1.002987
2457269.982979,1.008767,0.003270,15.149855,15.081129,3.944639,0.344367,1613.934249,1.002987
2457269.983001,1.008828,0.003270,15.146437,15.084212,3.961700,0.344395,1614.546114,1.002988
2457269.983024,1.002191,0.003284,15.148027,15.090208,4.021424,0.344423,1601.002390,1.002988
2457269.983047,1.002627,0.003281,15.134782,15.089543,3.958220,0.344451,1603.859077,1.002988
2457269.983070,1.003969,0.003281,15.136098,15.099387,3.988118,0.344479,1603.812051,1.002988
2457269.983092,1.004886,0.003275,15.146458,15.098638,3.942624,0.344507,1609.034589,1.002988
2457269.983115,1.006807,0.003272,15.146356,15.082141,3.954157,0.344535,1612.253620,1.002988
2457269.983138,1.006886,0.003270,15.153778,15.078512,3.919603,0.344563,1614.063178,1.002989
2457269.983161,1.001945,0.003279,15.145430,15.067201,3.947632,0.344591,1605.327296,1.002989
2457269.983184,1.005762,0.003276,15.158260,15.089273,3.947504,0.344619,1608.712862,1.002989
2457269.983206,1.012815,0.003268,15.169950,15.101432,4.025937,0.344647,1616.749445,1.002989
2457269.983229,1.004375,0.003279,15.177250,15.082532,4.015361,0.344675,1605.421303,1.002989
2457269.983252,1.006855,0.003275,15.183664,15.092637,4.009448,0.344703,1609.403473,1.002989
2457269.983275,1.003014,0.003279,15.170831,15.078935,3.973184,0.344731,1605.001453,1.002990
2457269.983297,1.007903,0.003272,15.184281,15.086404,3.971462,0.344759,1612.297137,1.002990
2457269.983359,0.989382,0.003304,15.163422,15.080029,3.987664,0.344834,1581.462601,1.002990
2457269.983382,1.008848,0.003276,15.164386,15.106199,4.049996,0.344862,1608.433104,1.002990
2457269.983405,1.003779,0.003289,15.153126,15.113557,4.129108,0.344890,1595.509170,1.002991
2457269.983473,1.005970,0.003292,15.164217,15.141974,4.188649,0.344974,1592.722428,1.002991
2457269.983496,1.005696,0.003289,15.165803,15.133735,4.154642,0.345002,1596.080205,1.002991
2457269.983518,1.001939,0.003293,15.153496,15.119263,4.139105,0.345030,1591.962596,1.002991
2457269.983541,1.010387,0.003276,15.140729,15.109968,4.076123,0.345058,1608.380458,1.002992
2457269.983564,1.002956,0.003284,15.142170,15.102639,3.999322,0.345086,1600.197831,1.002992
2457269.983587,1.007445,0.003275,15.136020,15.094117,4.017724,0.345114,1609.047367,1.002992
2457269.983610,1.005506,0.003273,15.121855,15.077063,3.930124,0.345142,1611.244986,1.002992
2457269.983632,1.006331,0.003273,15.123910,15.090440,3.937118,0.345170,1611.046198,1.002992
2457269.983655,1.004835,0.003276,15.132176,15.090783,3.941132,0.345198,1608.185144,1.002992
2457269.983678,1.002666,0.003280,15.131231,15.088150,3.929320,0.345226,1604.671087,1.002993
2457269.983701,1.001986,0.003278,15.130806,15.076430,3.916586,0.345254,1606.345856,1.002993
2457269.983723,0.996025,0.003288,15.134139,15.079368,3.923976,0.345282,1596.960339,1.002993
2457269.983746,0.999440,0.003281,15.151439,15.073909,3.880576,0.345310,1603.480486,1.002993
2457269.983769,1.006119,0.003270,15.151995,15.063962,3.919337,0.345338,1614.354872,1.002993
2457269.983792,0.997858,0.003286,15.164266,15.075188,3.929846,0.345366,1598.738567,1.002994
2457269.983815,1.002450,0.003280,15.147695,15.084678,3.950266,0.345394,1604.941096,1.002994
2457269.983837,1.008300,0.003271,15.145994,15.086860,3.961146,0.345422,1612.881046,1.002994
2457269.983860,1.004284,0.003283,15.153670,15.106039,4.028585,0.345450,1601.671622,1.002994
