# target: wasp-43
# filter: <_io.TextIOWrapper name='DATA/WASP-43/IRAC 4.5um/2458738_phasecurve_0/timeseries.csv' mode='w' encoding='UTF-8'>
# tmid: 2458753.478143 +- 0.000069
# emid: 2458753.071578 +- 0.000312
# transit_depth: 0.026057+-0.000049
# eclipse_depth: 0.004050 +- 0.000131
# nightside_amp: 0.001316 +- 0.000155
# hotspot_amp: 0.004050 +- 0.000131
# hotspot_lon[deg]: 16.715543 +- 2.624455
# hotspot_lat[deg]: 5.190616 +- 2.632632
time,flux,err,xcent,ycent,npp,phase,raw_flux,phasecurve
2458752.987143,1.017157,0.004606,14.951642,15.189535,4.455973,0.396218,934.123653,1.003931
2458752.987166,1.014129,0.004613,14.958592,15.169536,4.378966,0.396246,931.414974,1.003931
2458752.987189,1.000243,0.004641,14.964085,15.156308,4.301072,0.396274,920.221534,1.003932
2458752.987212,0.998785,0.004647,14.984584,15.154138,4.188647,0.396302,917.751960,1.003932
2458752.987280,0.999983,0.004642,14.949853,15.152259,4.266846,0.396386,919.854173,1.003932
2458752.987303,0.995490,0.004650,14.957932,15.162877,4.279923,0.396414,916.611285,1.003932
2458752.987325,1.003327,0.004637,14.942167,15.151511,4.389841,0.396442,921.489868,1.003932
2458752.987348,1.001396,0.004643,14.944216,15.166775,4.420516,0.396470,919.432392,1.003932
2458752.987371,1.000674,0.004642,14.930368,15.164386,4.548743,0.396498,919.640769,1.003933
2458752.987394,0.996745,0.004653,14.921631,15.182179,4.564011,0.396526,915.298485,1.003933
2458752.987417,1.000917,0.004652,14.899653,15.184995,4.791443,0.396554,915.909015,1.003933
2458752.987439,1.006186,0.004640,14.905155,15.183841,4.811768,0.396582,920.651130,1.003933
2458752.987462,0.997635,0.004659,14.894343,15.199727,4.953585,0.396610,912.804271,1.003933
2458752.987485,1.003062,0.004648,14.895235,15.192859,5.026569,0.396638,917.389847,1.003933
2458752.987508,1.009066,0.004640,14.880182,15.199579,5.096575,0.396666,920.268201,1.003933
2458752.987530,1.008373,0.004636,14.894125,15.198465,4.934463,0.396694,922.030541,1.003933
2458752.987553,1.010286,0.004632,14.888668,15.208472,5.034237,0.396722,923.580007,1.003933
2458752.987576,0.998212,0.004661,14.892804,15.216941,5.144984,0.396750,912.367645,1.003934
2458752.987599,1.000991,0.004653,14.900151,15.206955,5.046501,0.396778,915.275110,1.003934
2458752.987622,1.009722,0.004633,14.900917,15.230229,4.997543,0.396806,923.265156,1.003934
